"V1";"V2";"NA"
0,46;-0,12;-0,47
-0,21;0,32;0,52
0,5;-0,99;0,55
0,31;-0,71;-0,24
-0,15;0,35;0,01
0,05;-0,87;0,22
0,05;1,11;0,85
3,29;4,27;5,91
5,89;7,57;4,71
3,91;4,44;6,44
4,86;3,36;5,63
4,57;4,36;3,07
4,38;2,58;4,43
3,39;4,85;6,15
4,48;6,99;4,37
5,06;4,91;5,7
4,51;7,12;5,2
6,12;3,46;3,18
6,81;5,93;4,7
5,72;4,57;4,1
6,29;6,23;5,48
4,37;5,36;5,59
4,74;3,3;6,09
5,31;7,68;4,82
3,09;5,41;4,7
4,89;3,78;2,55
5,14;6,72;6,89
4,76;5,76;4,04
3,95;5,25;3,5
6,71;4,3;5,68
4,27;7,3;5,06
4,92;3,38;4,94
4,32;6,23;5,39
4,31;5,35;4,79
3,8;6,98;5,64
4,88;6,05;2,67
3,96;5,09;5,73
5,44;6,63;5,57
5,69;3,04;3,44
4,16;3,51;5,23
3,46;3,72;4,98
4,94;5,23;2,45
4,7;6,02;3,87
3,96;5,25;7,33
5,1;4,13;2,85
6,25;2,8;4,54
4,83;6,25;5,78
4,43;7,02;6,94
5,48;3,29;5,6
5;6,78;4,57
3,44;4,36;4
6,08;4,82;7,23
4,68;4,72;4,11
4,98;7,74;5,66
3,42;5,58;6,31
5,86;6,14;3,74
4,06;5,32;6,87
5,96;4,99;3,85
3,89;4,89;5,34
4,61;5,34;6,27
3,18;5,46;5,99
4,83;4,62;2,22
5,65;3,62;3,79
4,13;7,11;5,22
3,84;3,91;3
3,19;4,41;5,19
3,82;5,32;2,97
5,2;7,57;6,09
6,58;4,8;6,33
3,87;6,71;6,46
5,45;7,31;4,67
4,56;6,25;7,62
5,27;6,9;4,47
3,28;5,06;4,7
5,87;5,49;2,78
5,36;4,91;5,1
4,24;4,14;5,16
5,31;3,57;3,52
5,4;6,93;4,74
5,18;3,93;4,82
5,17;7,16;4,45
5,19;5,71;4,84
4,56;7,88;5,24
3,52;6,13;5,33
5,36;3,7;5,86
5,3;7,08;4,86
5,04;7,82;4,04
4,17;5,73;4
4,85;4,62;7,9
3,96;2,71;4,01
6,83;4,94;5,39
6;5,7;6,79
5,15;3,63;5,58
6,26;5,81;7,03
3,56;3,57;5,48
5,47;5,25;6,7
3,43;4,49;5,37
4,52;6,79;5,09
4,53;4,59;6,06
5,97;6,11;4,52
5,52;4,77;6,08
5,45;5,84;2,33
5,75;5,28;4,92
3,93;2,62;5,79
5,3;4,08;2,66
4,23;6,43;3,88
3,55;4,33;3,45
12,61;10,32;9,76
9,9;9,95;11,06
7,99;10,72;10,59
8,51;8,39;10,35
10,46;9,45;11,13
11,77;11,55;9,75
12,76;9,78;10,52
9,49;9,36;11,7
10,09;9,65;9,84
10,04;8,87;8,52
8,61;10,48;10,39
7,28;9,28;9,88
9,17;9,19;8,87
9,85;11,55;10,88
10,85;9,73;9,06
10,89;9,61;10,83
9,3;10,73;8,44
8,2;9,12;10,1
12,74;9,89;10,4
9,98;10,34;10,41
8,66;11,03;8,91
8,14;11,22;10,35
10,8;11,86;10,35
11;10,75;10,35
8,73;8,35;9,86
11,14;9,61;10,71
9,98;11,47;10,78
10,07;9,42;11,03
8,64;8,93;10,01
8,54;9,61;11,66
7,56;8,97;10,28
9,48;9,05;8,36
9,26;11,25;11,16
8,74;10,33;9,28
11,11;10,05;10,62
9,31;9,86;9,55
9,61;10,54;9,38
10,85;10,57;9,68
8,19;8,57;10,1
11,39;9,72;9,12
10,2;9,41;8,84
9,97;8,19;10,21
10,24;8,15;9,43
10,69;9,05;11,01
11,66;9,8;10,52
8,71;11,59;10,58
8,74;9,97;8,95
8,67;10,71;8,95
11,69;9,09;11,26
10,66;9,29;10,98
8,04;10,19;10,62
10,71;11,17;10,77
11,7;9,98;10,79
8,83;10,94;9,08
8,42;10,77;9,9
9,35;10,56;10,58
7,48;10,23;10,61
11,55;10,74;8,84
10,83;8,92;8,6
12,58;10,41;10,26
11,61;9,5;10,74
8,68;9,74;11,54
8,94;11,06;9,26
9,42;8,94;11,28
10,76;9,45;8,43
11,04;9,49;8,53
9,28;8,98;9,83
8,01;9,1;9,58
8,12;9,78;10,14
9,99;11,25;9,87
10,4;11,03;8,74
8,44;11,37;10,75
10,33;11,73;10,3
10,7;9,39;9,02
8,55;8,34;10,1
11,61;8,56;10,21
9,7;11,23;9,31
8,87;9,9;11,21
12,46;10,83;10,73
12,2;11,34;9,98
9,53;9,01;10,89
12,41;9,2;9,65
8,38;10,6;11,08
9,69;9,6;11,24
10,37;9,57;11,43
11,19;10,47;10,22
9,15;9,87;11
9,85;9,57;11,43
8,93;11,6;9,1
10,24;11,08;11,26
10,18;11,42;10,33
8,95;10,45;8,64
10,82;8,72;10,09
11,19;8,95;9,19
9,53;8,92;11,13
11,09;9,58;11,67
7,76;10,28;10,26
8,5;9,88;8,44
12,23;10,9;10,41
7,86;9,8;11,34
15,46;12,77;14,46
14,61;13,9;13,72
17,06;16,28;15,79
16,22;17,3;15,65
13,03;14,02;17
13,92;16,3;14,34
13,77;15,04;14,21
15,18;13,49;16,89
12,48;15,36;16,21
15,02;13,03;17,24
16,2;16,42;14,12
13,99;13,98;13,44
14,44;16,42;16,68
17,66;15,76;16,08
16,51;15,52;15,08
16,37;14,15;15,08
14,12;15,65;13,72
14,53;12,85;15,74
14,52;15,21;17,28
14,97;15,38;16,69
16,07;12,74;14,39
16,35;13,5;13,79
16,49;17,02;16,06
13,82;16,45;15,96
12,94;16,26;14,02
13,62;14,53;14,67
16,92;14,55;15,52
15,93;13,58;14,82
12,45;15,9;15,1
12,82;14,51;16,85
14,17;13,34;16,42
15,59;14,55;16,71
14,56;13,12;14,39
14,6;12,62;16,5
14,93;14,95;15,37
14,44;16,94;16,4
16,92;14,34;12,97
14,77;13,14;13
12,42;14,61;14,91
14,58;16,44;17,08
15,14;13,08;17,28
15,59;15,91;13,89
17,38;16,4;15,66
16,21;15,88;15,78
14,14;13,9;15,23
14,49;15,75;12,98
14,93;15,73;14,77
14,85;12,82;16,56
15,36;17,73;16,07
15,4;12,52;14,12
15,92;14,37;16,06
15,56;17,33;16,02
14,84;17,29;13,94
13,97;16,04;14,47
13,73;16,08;12,95
15,81;14,1;13,81
17,5;14,51;13,72
15,4;12,94;13,1
16,6;17,1;15,01
15,64;13,1;16,09
15,32;14,08;12,67
14,54;15,84;12,27
15,48;15,4;15,34
15,5;16,9;16,22
15,6;14,93;17,87
13,81;14,71;16,42
14,44;14,97;13,29
15,53;13,16;14,35
16,09;17,6;15,27
16,87;15,61;13,97
15,38;14,37;13,51
15,98;13,99;14,38
12,93;14,26;14,37
13,65;14,71;14,74
17,26;13,45;15,58
14,47;15,48;17,7
16,55;13,7;15,06
14,42;13,18;13,38
15,19;16,3;16,33
15,78;16,29;12,72
13,02;14,96;16,85
14,32;13,49;14,46
13,33;15,05;16,67
13,9;16,42;13,81
17,29;16,1;13,8
14,66;16,28;17,25
14,23;13,4;12,89
14,2;13,88;12,46
16,92;14,76;15,7
15,33;13,76;15,91
15,37;14,22;13,94
13,78;13,2;16,6
13,41;14,41;15,96
16,12;16,74;16,55
15,88;13,42;13,42
13,7;15,21;14,37
16,2;15,87;17,59
15,41;13,19;16,65
16,47;17,32;15,91
16,56;16,75;15,16
